tan_d_OH3%,,tan_d_OH1%,,tan_d_OH0.5%,,tan_d_ref,
X,Y,X,Y,X,Y,X,Y
0.10671359597941699,-0.000011272366778926346,0.11596631811950113,-0.00006820440905250767,0.119936840169988,-0.0000348363208752759,66.47794028043768,0.000056269652918725446
0.12746496984817773,-0.000005623048447166157,0.16395194092307064,-0.00006560473163949761,0.15814438998325794,-0.000032862752310595586,102.89734064075343,0.00006179711625883648
0.15225162632070474,-0.000001438114443488847,0.22821308436706386,-0.00006324920756066443,0.22246454058041465,-0.000022700238271116877,133.05088136649397,0.0000643924057163979
0.1818582607041735,0.000006386216870176917,0.3176057097604629,-0.00005247649446986184,0.3194074486613986,-0.00001625694529034348,204.8551613512417,0.00007253807497220946
0.21722215903745384,0.000010747105654922498,0.43505594112695445,-0.000047829563117182325,1.3449481740865858,-0.0000031039286869927185,259.34074378735716,0.00008443777496973393
0.25946287066744184,0.00002166254134674042,0.6690183148463684,-0.000039181386676481744,2.32864596693924,0.00000228636911990196,324.86259700088675,0.00008651372106498363
0.3099176509123182,0.00003458384476893485,0.837069154589467,-0.00003434842127596205,3.7110933437941944,0.000002713842824223281,512.2327601557217,0.00009071038183493078
0.37018379585461814,0.00004859719436844587,1.0553423525779673,-0.000023247357492263768,4.82866936206343,0.000009820887187603558,653.6380918045008,0.00009434642439957314
0.4421692094978606,0.00005951716974662499,1.6660376927058782,-0.000013423070775437848,6.2621571871171,0.000017267976571561094,1030.635250099366,0.0001013220136778896
0.5281528041404243,0.00007589056648183226,2.118817997353481,2.2881241539852992e-7,8.532147236431257,0.00002480674767818894,1308.2102700900557,0.00010217918873775718
0.6308566461200931,0.00008935108346313884,4.171653137714425,0.00003203267737405917,12.621835588733097,0.0000447358853454486,1651.7817952354237,0.00011261623538526798
0.7535321309173216,0.00010500477217180622,6.691292382987836,0.000046288539294492975,16.640446495335517,0.000052931288043678304,2577.065353833131,0.00012644164181154112
0.9000629157463266,0.00011428440844083246,8.389243177123955,0.00005727487388331072,26.25932823360771,0.00008671679020040568,3271.131433019321,0.00012725000380632394
1.0750878682712266,0.0001430290322181841,13.298046984366925,0.00010989312588480932,32.33774308769942,0.0001051030003360702,5171.474094629124,0.00013424996911538464
1.2841479237543942,0.00017451512065473282,16.526110848494437,0.00014463163559034348,41.170321048198005,0.00014610357054706778,6490.383994458315,0.00013634346595277173
1.5708135206275162,0.0002202253499897274,26.544793022857164,0.0002433563934360946,66.40275736114847,0.00022618940223445919,10453.346917215393,0.0001358725951037549
1.953705167643346,0.0002743946543681281,33.339341955033916,0.00032341315299174236,81.62336327447561,0.0002648406491893851,53.435041512653726,0.000055247391480916716
2.5376842035468665,0.0003510995189281718,41.32292942353245,0.0003731703233222604,128.33280222503694,0.000354717468063738,41.242524484532545,0.000055590644107877604
3.031158659030555,0.0004042324173844959,64.18276176529817,0.0005409607472439907,162.75237417420053,0.00042056275768145857,27.458304683741915,0.00005184164631146307
3.707816612631173,0.00046922486991719803,82.1409791927404,0.0006412790691282342,205.2692143933459,0.00048027987292462854,20.327723779817358,0.00004907061248635505
4.333847759915701,0.0005170632637219036,128.41570048956774,0.0008950452476499185,328.11532465504206,0.0006549095011837043,13.06938772555377,0.000039539644018857234
5.1656139650285535,0.0005741746966894702,165.37861934806836,0.0010500558548045633,411.5568500495307,0.0007707776512227999,6.9273182631753,0.000039313360607508285
6.2621571871171,0.0006503702205791079,324.79328729558483,0.0016602288807253136,638.4029280939814,0.0009746645845172472,2.9031558303176332,0.000025674712570361927
7.261614818550913,0.0007312122283110352,410.94054864052737,0.0018623327345726262,821.3479546057994,0.0011214471467209785,1.614513926891494,0.000020267210138369407
8.673698092548616,0.0008398385587543421,518.2535730580186,0.002110984656138286,1291.6489835793843,0.0013732821267466843,0.4922446896917155,0.0000035329848565700955
10.798961245206407,0.0009641310986635929,813.6777880957866,0.002550853607254565,1634.469777800303,0.001524734352804558,0.25418005429727364,-0.00000801827142109246
13.931371782658655,0.0011560012250496337,1028.1094090981012,0.0027195466777977786,2054.6482456497997,0.0016307614490482965,0.13788416152778238,-0.000024739055753163555
16.47698294365959,0.001296123732711929,1615.5863126329161,0.0030589526207654653,3241.1309190828733,0.0017836662509974673,0.6828795394369712,0.000009607170130262327
20.172837599378518,0.0014584718790068042,2034.4947138253694,0.0031574634590113247,4229.905846795487,0.001827040353908977,0.9838107480248299,0.00001570211236118224
24.73598390556888,0.0016706847410786294,5191.487604589877,0.003016381794495743,6441.299902666626,0.0018300304316589133,2.1714134637208997,0.000022998260126668238
28.78121858625443,0.0018298392834201864,6501.953832452841,0.002924592343910887,8115.05325328023,0.0017724122295574556,4.227004322048797,0.0000347609478948286
33.87266338359748,0.002030033789400502,10137.324890929329,0.0025929823211264308,10163.456319800243,0.0016844492175228255,8228.408991259801,0.00013812442305015035
39.27883427713119,0.0022491969636366186,3276.236758846169,0.003199467468024674,0.9733024441542878,-0.000008651283886666056,4071.5167958931975,0.00013164039887234545
46.916940440951734,0.0024724540950502496,4044.2210503437536,0.003159801829675261,0.7333476892823013,-0.000013129385773625463,2074.11349048633,0.0001226943955894358
53.34139400247104,0.0026672354798736335,256.0473509052372,0.0014250095544953937,0.5640253729849445,-0.000009622783445422181,819.6560309469105,0.00010867817791184592
63.08820501537226,0.002979558924104681,205.69793785203677,0.0012345614220468683,5267.020649703028,0.001843065266695405,412.06366603935084,0.00009141994814535447
71.72703013038539,0.0031845297134587584,5.248596513535933,0.000042052422935263956,2578.7574750108897,0.001729554216865905,164.13817708782716,0.00007201662767342652
