w,eps',tand,conc
0.1,2.3839155291823557,0.0,3.0
0.11233240329780274,2.383834963914291,0.0,3.0
0.12618568830660204,2.3837543986462255,0.0,3.0
0.1417474162926805,2.38367383337816,0.0,3.0
0.1592282793341092,2.38367012489629,5.347471604065965e-07,3.0
0.1788649529057435,2.3836828046600296,5.6554242668032725e-06,3.0
0.20092330025650468,2.383697647641185,8.832917722747359e-06,3.0
0.22570197196339203,2.3837146500516533,1.3099503274586537e-05,3.0
0.25353644939701114,2.3837316524621213,2.0243170818023232e-05,3.0
0.2848035868435802,2.383646183423258,2.843875996911117e-05,3.0
0.31992671377973836,2.3835494455705932,3.709052158698487e-05,3.0
0.35938136638046275,2.383512347027972,4.626163610181667e-05,3.0
0.40370172585965547,2.383512347027972,5.392383703846066e-05,3.0
0.4534878508128582,2.383512347027972,6.184619450975396e-05,3.0
0.509413801481638,2.383512347027972,7.256185498686428e-05,3.0
0.5722367659350217,2.383512347027972,8.19633535657895e-05,3.0
0.6428073117284321,2.383512347027972,9.100428701833766e-05,3.0
0.7220809018385463,2.383512347027972,0.00010124893057822849,3.0
0.8111308307896871,2.383512347027972,0.00010885138770054435,3.0
0.9111627561154891,2.383512347027972,0.00011626714899913599,3.0
1.0235310218990263,2.3835017058758226,0.00013507922775843437,3.0
1.1497569953977356,2.3833764512826097,0.00015492727558599298,3.0
1.291549665014884,2.383251196689397,0.00017581892476871715,3.0
1.4508287784959395,2.38319932656381,0.0002022000081272656,3.0
1.6297508346206444,2.3831757459648664,0.00022937222520281404,3.0
1.8307382802953678,2.3831688913405142,0.0002582511077747103,3.0
2.0565123083486516,2.383205090020866,0.00028943616361768815,3.0
2.3101297000831593,2.3832412887012184,0.000323544567200919,3.0
2.595024211399736,2.383170928522491,0.00035778068685400166,3.0
2.9150530628251756,2.383079942650255,0.0003925538074978371,3.0
3.2745491628777286,2.3829889567780196,0.0004291443402629207,3.0
3.678379771828632,2.3829172209626313,0.0004666539159724615,3.0
4.132012400115337,2.3828470860194493,0.0005024396261270753,3.0
4.641588833612779,2.382788451421264,0.0005393788023677666,3.0
5.214008287999684,2.3827468899734523,0.0005778656880356869,3.0
5.857020818056667,2.382705328525641,0.0006238963809709635,3.0
6.579332246575679,2.3825762619903244,0.0006773445068537747,3.0
7.390722033525779,2.3824397029475155,0.0007419855498988658,3.0
8.302175681319744,2.382276092620852,0.0008130766554727254,3.0
9.326033468832199,2.382078022079054,0.0008809648362035051,3.0
10.476157527896651,2.3818677556112853,0.000946919384916648,3.0
11.768119524349979,2.38160705898963,0.0010288761160930572,3.0
13.219411484660288,2.3813463623679745,0.0011164834210219605,3.0
14.84968262254465,2.3813024475524474,0.0012093005358920163,3.0
16.68100537200059,2.3813024475524474,0.0013059960897644739,3.0
18.73817422860383,2.3811599205878866,0.001399288462283101,3.0
21.049041445120196,2.3808556062581485,0.0015027185310589586,3.0
23.644894126454073,2.3805624841773665,0.0016237388041734405,3.0
26.560877829466868,2.3803355995524282,0.0017454792467711164,3.0
29.836472402833405,2.3801087149274904,0.0018740956259040964,3.0
33.51602650938841,2.379818892045454,0.002017024797046493,3.0
37.64935806792467,2.3795071811868684,0.0021864870871833595,3.0
42.29242874389499,2.379254504176379,0.0023420744223683785,3.0
47.50810162102798,2.379098648747086,0.002491458779078606,3.0
53.36699231206307,2.3789364801864803,0.002668128375239438,3.0
59.94842503189409,2.378375400641026,0.0028845538249305746,3.0
67.34150657750821,2.377814321095571,0.0030837629359613994,3.0
75.64633275546291,2.377232905982906,0.003276125249238273,3.0
84.97534359086438,2.3766406553515926,0.00350675377034785,3.0
95.45484566618337,2.376012347027972,0.0037668468553746512,3.0
107.22672220103232,2.3752954120532244,0.00400317256915392,3.0
120.45035402587824,2.374578477078477,0.004274993083348492,3.0
135.3047774579806,2.373774949009324,0.004545936659248952,3.0
151.99110829529332,2.372964500777001,0.004859211362858532,3.0
170.73526474706904,2.37203125,0.005114513826383827,3.0
191.79102616724887,2.3710026041666667,0.005418290005123175,3.0
215.44346900318845,2.3699241817210566,0.005734503711404641,3.0
242.0128264794381,2.3686461672008545,0.0060414287508672605,3.0
271.85882427329403,2.367368152680653,0.006313106740493939,3.0
305.3855508833416,2.3659597780691533,0.006639819250893477,3.0
343.04692863149194,2.364525908119658,0.006936726636660311,3.0
385.3528593710527,2.362988782051282,0.007236026940934029,3.0
432.8761281083057,2.361336714500777,0.007482916189812692,3.0
486.26015800653533,2.3596640685703183,0.007740336972568973,3.0
546.2277217684342,2.3578249745046618,0.007963823200111969,3.0
613.590727341317,2.3559858804390057,0.008179844866958025,3.0
689.2612104349695,2.3540536676864803,0.008372381805737225,3.0
774.263682681127,2.3520898892773894,0.008527781961137371,3.0
869.7490026177834,2.3500663182303807,0.008651510367925235,3.0
977.0099572992247,2.347946684391997,0.008760079920188938,3.0
1097.4987654930567,2.345827482677986,0.008820635847900639,3.0
1232.8467394420659,2.3437289817791673,0.008840174222876654,3.0
1384.8863713938717,2.3416304808803483,0.008825170862637647,3.0
1555.6761439304723,2.3396537524975027,0.008796234281976966,3.0
1747.5284000076829,2.3377300511988013,0.008745327620769688,3.0
1963.0406500402723,2.3358574052636554,0.008664154359519751,3.0
2205.1307399030457,2.334037687818938,0.008534412402117914,3.0
2477.076355991709,2.3322179703742205,0.008381358117763906,3.0
2782.559402207126,2.3304038919749606,0.00822322231506575,3.0
3125.7158496882353,2.328593957957365,0.008050246982607707,3.0
3511.1917342151273,2.3268219335837186,0.00785326388907282,3.0
